Source,Dish,Ingredients,Normalized Ingredients
20210422-LU-RePa-Report.pdf,Baba ghanouj,"Aubergines, garlic cloves, lemon juice, tahini, pomegranate seeds, salt","aubergines, garlic, lemon juice, tahini, pomegranate seeds"
20210422-LU-RePa-Report.pdf,Batata mehchi,"Lamb ground, onions, butter, salt, pepper, pine nuts, potato, tomato juice","lamb, onions, pepper, pine nuts, potato, tomato juice"
20210422-LU-RePa-Report.pdf,Borgul bi banadoura,"Coarse bulgur wheat, small pearl onions, chickpeas, cinnamon stick, caraway seed, vegetable oil, mild white pepper, salt","coarse bulgur wheat, small pearl onions, chickpeas, cinnamon stick, caraway seed, mild white pepper"
20210422-LU-RePa-Report.pdf,Chichbarak,"Chichbarak Dough: multi-purpose flour, salt, water warm to form a paste, yeast, sugar; Meat Stuffing: ground beef, salt to taste, black pepper to taste, cinnamon powder to taste, onion finely chopped, pine nuts, olive oil, bushel of parsley chopped; Chich Barak Stew: yogurt, water, starch, garlic cloves crushed (optional), rice, dried mint, salt to taste","chichbarak dough: multi-purpose flour, water warm to form a paste, sugar; meat stuffing:  beef, salt to taste, black pepper to taste, cinnamon  to taste, onion finely, pine nuts, bushel of parsley ; chich barak stew: yogurt, starch, garlic   (optional), rice, mint, salt to taste"
20210422-LU-RePa-Report.pdf,Falafel,"Dry peeled fava beans dried chickpeas (aka Garbanzo beans), Italian parsley (chop away the stems), green cilantro (chop away the stems), freshly peeled crushed garlic cloves, red or yellow onion, green onions, salt, black pepper, flour, baking soda, red chili pepper (optional, if spicy falafel is desired), cumin, coriander; Falafel Tahini Sauce: Tahini paste, freshly squeezed lemon juice, garlic cloves, crushed, salt","dry peeled fava beans  chickpeas (aka garbanzo beans), italian parsley (chop away the stems), green cilantro (chop away the stems), freshly peeled  garlic, red or yellow onion, green onions, red chili pepper (optional, if spicy falafel is desired), cumin, coriander; falafel tahini sauce: tahini paste, freshly squeezed lemon juice, garlic"
20210422-LU-RePa-Report.pdf,Fatayer sabanikh,"Fresh spinach, onions, pine nuts, lemon juice, olive oil, sumac, salt, plain white flour, caster sugar, baker yeast, olive oil, salt","spinach, onions, pine nuts, lemon juice, sumac, plain white flour, caster sugar, baker yeast"
20210422-LU-RePa-Report.pdf,Fattat Hommos,"Chickpeas, tomatoes, onion, basil leaves, garlic cloves, pitta bread, pine nuts, yogurt, tahini and vinegar, vegetable oil, salt and pepper","chickpeas, tomato, onion, basil, garlic, pitta bread, pine nuts, yogurt, tahini and vinegar, salt and pepper"
20210422-LU-RePa-Report.pdf,Fattoush,"Lettuces or romaine lettuce, cherry tomatoes, cucumbers, radishes, spring onions, flat-leaf parsley mint, pitta bread, olive oil, vinegar, sumac, salt","lettuces or romaine lettuce, cherry tomatoes, cucumbers, radishes, spring onions, flat-leaf parsley mint, pitta bread, sumac"
20210422-LU-RePa-Report.pdf,Foul moudamas,"Broad beans, baking soda, water, water, salt, garlic cloves minced, lemon juice, olive oil","broad beans, garlic, lemon juice"
20210422-LU-RePa-Report.pdf,Hindbe bi zet,"Chicory greens, water, olive oil, onions, salt, lemon juice","chicory greens, onions, lemon juice"
