Source,Dish,Ingredients,Normalized Ingredients
20210422-LU-RePa-Report.pdf,Baba ghanouj,"Aubergines, garlic cloves, lemon juice, tahini, pomegranate seeds, salt","aubergine, garlic, tahini, pomegranate"
20210422-LU-RePa-Report.pdf,Batata mehchi,"Lamb ground, onions, butter, salt, pepper, pine nuts, potato, tomato juice","lamb, onion, butter, pine nut, potato, tomato"
20210422-LU-RePa-Report.pdf,Borgul bi banadoura,"Coarse bulgur wheat, small pearl onions, chickpeas, cinnamon stick, caraway seed, vegetable oil, mild white pepper, salt","bulgur wheat, onion, chickpeas"
20210422-LU-RePa-Report.pdf,Chichbarak,"Chichbarak Dough: multi-purpose flour, salt, water warm to form a paste, yeast, sugar; Meat Stuffing: ground beef, salt to taste, black pepper to taste, cinnamon powder to taste, onion finely chopped, pine nuts, olive oil, bushel of parsley chopped; Chich Barak Stew: yogurt, water, starch, garlic cloves crushed (optional), rice, dried mint, salt to taste","flour, yeast, beef, onion, pine nuts, parsley, yogurt, starch, garlic, rice, mint"
20210422-LU-RePa-Report.pdf,Falafel,"Dry peeled fava beans dried chickpeas (aka Garbanzo beans), Italian parsley (chop away the stems), green cilantro (chop away the stems), freshly peeled crushed garlic cloves, red or yellow onion, green onions, salt, black pepper, flour, baking soda, red chili pepper (optional, if spicy falafel is desired), cumin, coriander; Falafel Tahini Sauce: Tahini paste, freshly squeezed lemon juice, garlic cloves, crushed, salt","fava bean, chickpea, parsley, cilantro, garlic, onion, green onion, flour, baking soda, chili pepper, cumin, coriander, tahini, lemon"
20210422-LU-RePa-Report.pdf,Fatayer sabanikh,"Fresh spinach, onions, pine nuts, lemon juice, olive oil, sumac, salt, plain white flour, caster sugar, baker yeast, olive oil, salt","spinach, onion, pine nut, flour, yeast"
20210422-LU-RePa-Report.pdf,Fattat Hommos,"Chickpeas, tomatoes, onion, basil leaves, garlic cloves, pitta bread, pine nuts, yogurt, tahini and vinegar, vegetable oil, salt and pepper","chickpea, tomato, onion, garlic, bread, pine nut, yogurt, tahini, vinegar"
20210422-LU-RePa-Report.pdf,Fattoush,"Lettuces or romaine lettuce, cherry tomatoes, cucumbers, radishes, spring onions, flat-leaf parsley mint, pitta bread, olive oil, vinegar, sumac, salt","lettuce, tomato, cucumber, radish, onion, parsley, mint, bread, vinegar, sumac"
20210422-LU-RePa-Report.pdf,Foul moudamas,"Broad beans, baking soda, water, water, salt, garlic cloves minced, lemon juice, olive oil","broad bean, garlic, lemon"
20210422-LU-RePa-Report.pdf,Hindbe bi zet,"Chicory greens, water, olive oil, onions, salt, lemon juice","chicory, onion"
